23230 46456
108.998322 88.954437 12.577330
80.474648 90.001022 12.584330
104.542480 90.015022 12.619330
107.493210 89.899513 12.472320
110.506943 89.777000 12.374320
113.499657 90.074516 12.657840
75.997803 90.858582 12.283310
79.001030 90.718567 12.083790
102.984863 90.921593 12.500320
105.998589 90.771080 12.174800
108.998322 90.806084 12.283310
112.001549 90.799080 12.167800
114.731758 90.876083 12.559830
117.997513 91.191109 12.738340
77.502907 91.775658 12.521330
80.530647 91.702148 12.601830
83.470871 92.083679 12.528330
98.739037 91.957672 12.563330
102.204300 91.730148 12.706840
104.493477 91.961166 12.409320
107.496696 91.863159 12.279810
110.524437 91.761650 12.038290
113.436661 91.852661 12.083790
116.499397 91.961166 12.080290
76.319817 93.042747 12.675340
79.004532 92.661217 12.496830
82.035767 92.769730 12.584330
84.331940 92.790733 12.671840
100.072639 92.360199 12.685840
103.331390 92.542213 12.685840
105.991592 92.514214 12.545830
108.994820 92.598221 12.353310
111.861542 92.888741 11.996290
115.001282 93.084747 12.024290
117.980011 92.832733 12.055790
77.492416 94.029823 12.444320
80.506149 94.001823 12.293810
83.341362 93.858307 12.559830
105.235527 93.851311 12.738340
107.468697 93.837311 12.430320
110.499939 93.756813 12.185300
113.499657 93.851311 11.989290
116.499397 93.851311 11.989290
119.488617 93.914307 12.094290
70.306374 95.118408 12.598330
73.001572 95.422943 12.720840
79.001030 94.708878 12.500320
82.025261 94.904892 12.122290
106.306618 94.652878 12.675340
109.047333 94.946899 12.024290
111.854538 94.810387 11.996290
114.997780 94.911903 11.982280
117.997513 94.911903 11.982280
120.976227 94.971397 12.101290
71.499962 96.112488 12.241310
80.506149 95.800957 12.444320
83.348373 95.951469 12.612330
107.444206 95.975983 12.409320
110.499939 95.772957 11.996290
113.499657 95.972473 11.968280
116.499397 95.972473 11.964790
119.499123 95.972473 11.989290
122.470848 96.014481 12.076790
69.938843 97.029556 12.580830
73.019073 97.026047 12.696340
78.983528 97.054047 12.636840
82.014763 97.040047 12.080290
106.639137 97.033058 12.643840
109.148827 97.071564 12.024290
111.998047 97.033058 11.978790
114.997780 97.033058 11.950780
117.997513 97.033058 11.961280
120.997238 97.033058 11.982280
123.678436 97.169563 12.514330
68.839760 98.321152 12.661340
71.499962 97.890617 12.647340
80.506149 97.887123 12.475820
82.938843 98.058632 12.612330
107.430199 98.111137 12.559830
110.461433 98.219643 11.999790
113.499657 98.093643 11.968280
116.499397 98.093643 11.947280
119.499123 98.093643 11.961280
122.561859 98.048126 11.999790
124.879044 98.093643 12.622830
66.956612 99.378227 12.542330
69.998337 98.776192 12.703340
78.647507 98.895203 12.724340
108.963318 99.157707 12.286810
111.998047 99.154221 11.992790
114.997780 99.154221 11.968280
117.997513 99.154221 11.954280
120.997238 99.154221 11.971790
123.996964 99.157707 12.003290
65.497002 100.389809 12.328810
68.496727 100.235802 12.269310
77.506416 99.969780 12.447820
107.647217 100.218300 12.524830
110.569939 100.211304 12.118800
113.499657 100.214798 11.989290
116.499397 100.214798 11.978790
119.499123 100.214798 11.954280
122.498863 100.214798 11.975280
125.253563 100.253304 12.269310
64.131897 101.261383 12.496830
66.998619 101.425888 12.339310
70.008842 101.268379 12.598330
76.004807 101.597397 12.671840
78.861023 101.310379 12.521330
106.730148 101.275383 12.734840
108.984322 101.278877 12.125800
112.036552 101.149368 12.083790
114.889267 101.439903 11.999790
117.997513 101.275383 11.975280
120.997238 101.278877 11.954280
124.140480 101.376877 11.996290
126.338654 101.275383 12.661340
65.461998 102.335960 12.402320
68.500229 102.339462 12.265810
70.764900 102.335960 12.738340
74.520691 102.328957 12.696340
77.513420 102.171448 12.342810
107.437202 102.339462 12.549330
110.499939 102.297447 12.083790
113.499657 102.223953 12.129300
116.457390 102.510971 11.999790
119.499123 102.335960 11.968280
122.498863 102.335960 11.971790
125.414574 102.321960 12.342810
63.928879 103.379044 12.531830
66.998619 103.561050 12.412820
70.022850 103.253029 12.654340
76.011803 103.277527 12.307810
78.311478 103.396538 12.692840
106.152603 103.386040 12.549330
108.987823 103.428047 12.433820
112.029556 103.277527 12.563330
114.980278 103.428047 12.416320
117.997513 103.396538 11.985790
120.997238 103.400040 11.971790
124.140480 103.295036 11.996290
