24211 48262
112.196571 81.170326 0.638341
114.985802 80.867905 0.450068
118.118492 81.128670 0.477013
111.044006 81.931030 0.605602
113.422005 81.722549 0.225361
116.561424 81.157738 0.323463
116.060699 82.393410 0.003010
119.610939 82.020462 0.258115
112.039352 82.842102 0.137025
114.437035 81.669121 0.127650
115.278831 82.854576 0.003010
118.627045 81.908318 0.157257
117.044067 82.771332 0.003010
120.921928 82.768654 0.145454
123.720543 83.293655 0.525537
80.376808 84.439400 0.631235
83.401390 84.063133 0.767256
111.484650 83.910439 0.064692
112.810875 83.150658 -0.062489
114.489349 83.686874 0.003010
116.070282 82.939438 0.003010
120.023468 82.700165 0.009313
118.925461 83.705971 0.003010
122.324074 83.270866 0.208620
123.126625 84.865410 0.003010
124.663551 83.906883 0.509391
78.950104 85.451820 0.409712
81.889442 85.144089 0.412146
84.646881 84.729362 0.806481
111.932243 84.583397 -0.080455
114.836937 83.932663 0.003010
117.591621 83.722656 0.003010
120.949417 83.139725 -0.020420
121.577553 84.819649 0.003010
124.584946 84.514763 0.281970
123.665283 85.329582 0.003010
74.521545 86.418022 0.522818
77.315445 86.329979 0.273636
80.373489 86.174683 0.172679
83.398544 85.756165 0.436405
111.440384 85.734383 0.030056
112.250969 84.756447 -0.175219
113.739983 85.596809 0.003010
116.004234 84.640671 0.003010
119.677780 84.894035 0.003010
123.186020 85.573441 0.003010
125.744385 85.874344 0.292453
73.085762 87.219894 0.384884
75.939392 86.551628 0.308638
75.959793 88.166206 0.003010
78.865868 86.757858 0.067573
82.041695 87.075432 0.118882
111.629868 86.434380 -0.004343
112.783386 87.451073 0.003010
114.409019 86.127602 0.003010
117.803551 85.826538 0.003010
121.774460 86.176750 0.003010
125.404564 85.978142 0.102045
124.167603 87.021721 0.003010
126.727219 87.130592 0.491483
71.687004 88.123329 0.315751
74.041122 87.146156 0.250888
74.819710 88.765129 0.003010
77.891586 86.917656 0.064199
77.107086 88.684113 0.003010
80.584961 87.649918 -0.053630
82.772957 88.104286 0.111773
111.296257 87.846603 0.200417
113.113426 87.799446 0.003010
115.882256 87.266655 0.003010
119.892563 87.257889 0.003010
123.436768 87.568062 0.003010
126.192139 87.482315 0.171331
124.948616 88.672821 0.003010
70.277679 89.173119 0.360736
72.589554 87.968040 0.140570
73.030663 90.105797 0.003010
75.958900 88.806305 0.003010
79.536568 87.584435 -0.086480
78.960205 89.927704 0.003010
82.233315 88.750778 0.010922
111.357742 88.941963 0.254012
112.549042 89.140335 0.003010
114.153610 88.857193 0.003010
117.834251 88.725204 0.003010
121.895119 88.737625 0.003010
124.605385 89.015068 0.003010
126.947662 88.915916 0.370294
69.383766 89.948402 0.429035
71.146294 88.996483 0.118285
71.346352 91.442810 0.003010
74.245781 89.884789 0.003010
77.686546 89.790596 0.003010
81.172470 88.561462 -0.103561
80.898163 91.213974 0.003010
83.587669 90.179619 0.230558
111.191727 90.020073 0.483486
112.950142 90.260323 0.003010
115.832458 90.269562 0.003010
119.921867 90.234154 0.003010
123.537415 90.095604 0.003010
126.573372 89.934624 0.139996
125.060524 90.081558 0.003010
127.504898 89.960014 0.582668
69.486343 90.703979 0.212243
70.458244 92.162483 0.003010
72.392723 91.248856 0.003010
75.958466 90.630287 0.003010
79.625618 91.105774 0.003010
82.679329 89.847496 0.030952
82.531532 92.003098 0.003010
84.744263 91.399521 0.591467
111.345551 91.014702 0.551814
112.555038 91.344803 0.003010
114.170586 91.578194 0.003010
117.835571 91.746346 0.003010
121.847336 91.540268 0.003010
124.590218 91.084595 0.003010
127.007317 90.984779 0.323915
68.546196 92.336952 0.323409
70.911377 92.224747 0.003010
74.061417 91.895264 0.003010
77.867027 91.899887 0.003010
81.392700 92.037125 0.003010
83.972801 91.735146 0.309736
