15871 31738
105.084526 92.926369 15.950033
103.682907 93.702217 15.592921
106.559662 93.716965 15.573759
112.287689 93.870262 15.955583
101.893967 94.858459 15.532927
105.061554 94.542885 15.240555
108.027283 94.571854 15.274192
110.955528 94.592453 15.445542
100.612663 95.871368 15.712488
103.432396 95.352226 15.125650
106.537354 95.482208 15.002789
109.493492 95.473557 15.078292
112.566818 95.420181 15.402075
83.974586 97.112015 15.979995
86.992783 97.039627 15.773354
90.051849 96.996292 15.793088
92.758873 96.778038 16.130651
99.802032 96.619385 15.825499
102.001427 96.580338 15.190907
105.020554 96.451591 14.873693
108.009377 96.455284 14.868413
110.997108 96.418457 15.001756
114.048050 96.654427 15.328686
82.720177 97.735466 15.942707
85.424980 97.873062 15.562370
88.514107 97.809990 15.479019
91.744560 97.795197 15.628679
100.507683 97.564163 15.446787
103.509804 97.508041 14.895391
106.515846 97.500565 14.780802
109.492516 97.460373 14.819452
112.522980 97.461021 14.981531
115.541771 97.799294 15.327422
83.735634 98.673286 15.527270
86.975906 98.711708 15.325646
90.050537 98.676201 15.320608
93.092667 98.977028 15.494372
101.999969 98.587479 15.049311
105.019257 98.578735 14.788565
107.996964 98.556511 14.769876
110.998680 98.503532 14.817308
114.034782 98.586220 14.954434
116.971222 98.983650 15.387958
82.676308 99.654259 15.589647
85.342010 99.731537 15.311744
88.513969 99.615120 15.212852
91.548401 99.687233 15.255365
94.519409 99.965912 15.465505
97.488457 100.055878 15.546089
100.378616 99.580429 15.258962
103.520432 99.663277 14.873181
106.504265 99.665314 14.790497
109.490379 99.627518 14.789773
112.515419 99.589020 14.804252
115.516281 99.730286 14.935678
118.047577 100.089226 15.493379
84.723740 100.829369 15.357593
87.004242 100.616676 15.256053
90.013733 100.620674 15.162970
93.007095 100.773285 15.223903
96.009293 100.949623 15.362683
98.975342 100.891876 15.279536
102.003441 100.729248 14.995703
105.012833 100.759300 14.847038
107.990372 100.756531 14.825857
110.998093 100.714180 14.796273
114.021729 100.707138 14.755882
116.933403 100.862579 15.002909
85.607010 101.489906 15.385030
88.514381 101.658318 15.226405
91.497444 101.696838 15.126554
94.495293 101.839996 15.170646
97.512535 101.922943 15.199614
100.501701 101.823059 15.070552
103.517891 101.830963 14.916859
106.494888 101.854401 14.881853
109.488510 101.852272 14.848889
112.508438 101.816040 14.760732
115.508324 101.837669 14.723352
118.460579 101.866661 15.358234
86.955750 102.750526 15.419879
90.008987 102.735893 15.165214
92.986168 102.796638 15.070353
96.004593 102.895180 15.075511
99.020020 102.914230 15.052779
102.020027 102.893051 14.967627
105.000641 102.920395 14.934478
107.984436 102.947418 14.919138
110.995407 102.950920 14.838208
114.011581 102.925377 14.700707
117.020439 102.939896 14.830688
119.347260 102.908615 15.573774
82.469467 103.997833 16.219166
86.308777 103.905563 15.614412
88.509644 103.791054 15.313938
91.497536 103.840286 15.076927
94.490021 103.891457 14.992758
97.516174 103.948341 14.984138
100.522873 103.955948 14.971232
103.505241 103.971298 14.963602
106.484016 104.000870 14.987093
109.484901 104.038933 14.933715
112.504517 104.042763 14.802264
115.515930 104.015434 14.694956
118.653458 104.006973 15.184716
87.115532 104.607277 15.537439
89.992043 104.930435 15.165780
92.994408 104.941429 14.982077
96.000465 104.979919 14.925351
99.019760 105.011841 14.935680
102.008446 105.023300 14.958367
104.984116 105.038490 15.023280
107.978760 105.068764 15.038478
110.995125 105.124657 14.932007
114.013046 105.100372 14.790737
117.041237 105.050133 14.845523
119.892883 105.361496 15.588094
88.316643 106.039131 15.338293
91.512253 106.027176 15.022313
94.494766 106.037262 14.911054
97.507721 106.064270 14.897186
100.509026 106.080940 14.929852
103.483864 106.080765 15.006041
106.483009 106.098862 15.124824
109.481438 106.129379 15.077073
112.514503 106.164307 14.953387
115.524811 106.085503 14.884542
118.513947 106.021667 15.187284
87.087067 107.467918 15.473175
90.003273 107.119705 15.086779
93.009315 107.114151 14.931171
95.997551 107.126160 14.883719
99.004562 107.141510 14.902573
101.986885 107.138245 14.956078
104.976822 107.133934 15.124423
107.988678 107.087593 15.229042
111.001396 107.202026 15.137239
114.033180 107.103439 15.064363
117.037964 106.962738 15.155099
119.853889 106.757690 15.708946
86.256172 108.159157 15.606438
88.497246 108.235550 15.158091
91.530678 108.188683 14.955818
94.501610 108.195190 14.895837
97.497612 108.203590 14.893039
100.490913 108.204445 14.916027
103.470528 108.179115 15.034212
106.549332 108.247986 15.333792
109.470116 108.083473 15.330485
112.549156 108.124725 15.265344
115.545013 107.928551 15.331478
118.539719 107.680115 15.636930
86.887703 109.266266 15.309781
90.031631 109.251945 14.960605
93.021164 109.259071 14.913281
95.996307 109.264740 14.901182
98.991684 109.266747 14.906411
101.980515 109.253754 14.937421
104.972397 109.204330 15.211345
108.044258 108.843636 15.491446
111.007439 109.344833 15.538521
85.508141 110.593788 15.504530
88.476715 110.306473 14.953015
91.535820 110.312042 14.907003
94.507446 110.320801 14.916533
97.491455 110.321465 14.917440
100.488266 110.321815 14.894686
103.499359 110.304939 15.023065
106.351471 110.059067 15.487280
110.228485 110.348587 15.798952
111.787773 110.343483 15.833605
84.637337 111.429314 15.752563
86.902611 111.411713 14.987424
90.006477 111.362877 14.851460
